text	kind	city	script	has_diacritic
Apartments Aldi Mostar	amenity	Mostar	latin	0
Apostolska nuncijatura	amenity	Sarajevo	latin	0
Apoteka	amenity	Sarajevo	latin	0
Apoteka "9. maj"	amenity	Goražde	latin	0
Apoteka "Diva Medica"	amenity	Goražde	latin	0
Apoteka "Kovačević"	amenity	Bihać	latin	1
Apoteka "Prvi maj"	amenity	Banja Luka	latin	0
Apoteka 'Sjenjak'	amenity	Tuzla	latin	0
Apoteka Altea	amenity	Sarajevo	latin	0
Apoteka Anea	amenity	Tuzla	latin	0
Apoteka Baščaršija	amenity	Sarajevo	latin	1
Apoteka Bioritam	amenity	Sarajevo	latin	0
Apoteka Denida	amenity	Sarajevo	latin	0
Apoteka Denida - Vogošća	amenity	Sarajevo	latin	1
Apoteka Dina	amenity	Sarajevo	latin	0
Apoteka Dobrinja	amenity	Sarajevo	latin	0
Apoteka Dobrinja 5	amenity	Sarajevo	latin	0
Apoteka EUROPHARM	amenity	Mostar	latin	0
Apoteka Europharm	amenity	Mostar	latin	0
Apoteka Galen	amenity	Brčko	latin	0
Apoteka Games	amenity	Travnik	latin	0
Apoteka Grbavica	amenity	Sarajevo	latin	0
Apoteka Ibn Sina	amenity	Brčko	latin	0
Apoteka Ibn-Sina	amenity	Tuzla	latin	0
Apoteka Ivipharm	amenity	Banja Luka	latin	0
Apoteka Jasmina	amenity	Mostar	latin	0
Apoteka Kostić	amenity	Brčko	latin	1
Apoteka Lamela	amenity	Sarajevo	latin	0
Apoteka Lašva lijek	amenity	Travnik	latin	1
Apoteka Lekovita	amenity	Brčko	latin	0
Apoteka Lijek	amenity	Tuzla	latin	0
Apoteka Lotus	amenity	Sarajevo	latin	0
Apoteka Lupriv	amenity	Sarajevo	latin	0
Apoteka Masarykova	amenity	Zenica	latin	0
Apoteka MoPharm	amenity	Mostar	latin	0
Apoteka Oaza Zdravlja	amenity	Sarajevo	latin	0
Apoteka Onion	amenity	Brčko	latin	0
Apoteka Pharmacom	amenity	Brčko	latin	0
Apoteka Rose Pharm	amenity	Tuzla	latin	0
Apoteka Rosić 12	amenity	Banja Luka	latin	1
Apoteka Salute	amenity	Mostar	latin	0
Apoteka Sedrenik	amenity	Sarajevo	latin	0
Apoteka Sjenjak	amenity	Tuzla	latin	0
Apoteka Skenderija	amenity	Sarajevo	latin	0
Apoteka Solana	amenity	Tuzla	latin	0
Apoteka Stari Grad	amenity	Sarajevo	latin	0
Apoteka Tabašnice	amenity	Tuzla	latin	1
Apoteka Travnik	amenity	Travnik	latin	0
Apoteka VITA	amenity	Mostar	latin	0
Apoteka Vita	amenity	Mostar	latin	0
Apoteka Vogošća	amenity	Sarajevo	latin	1
Apoteka Vraca	amenity	Sarajevo	latin	0
Apoteka Zdravlje	amenity	Brčko	latin	0
Apoteka parking	amenity	Sarajevo	latin	0
Apoteka Švrakino	amenity	Sarajevo	latin	1
Apoteka „Lekovita“	amenity	Brčko	latin	0
Apoteka „Zdravlje“	amenity	Brčko	latin	0
Apoteke Kovačević	amenity	Bihać	latin	1
Apoteke Sarajevo	amenity	Sarajevo	latin	0
Apotheke	amenity	Tuzla	latin	0
AquaBar	amenity	Mostar	latin	0
Aquarius	amenity	Sarajevo	latin	0
Aquarius Vils	amenity	Sarajevo	latin	0
Arcelor Mittal	amenity	Zenica	latin	0
Archive	amenity	Banja Luka	latin	0
Arco	amenity	Brčko	latin	0
Arhiv Brčko distrikta	amenity	Brčko	latin	1
Aria	amenity	Banja Luka	latin	0
Arkanđel Mihael	amenity	Livno	latin	1
Arnautović zubar	amenity	Tuzla	latin	1
Aroma	amenity	Bihać	latin	0
ArsTektonica	amenity	Brčko	latin	0
Arslanagića most	amenity	Trebinje	latin	1
Art	amenity	Sarajevo	latin	0
Art -Craft	amenity	Sarajevo	latin	0
Art Cafe	amenity	Banja Luka	latin	0
Art Caffe	amenity	Zenica	latin	0
Art cinema Kriterion	amenity	Sarajevo	latin	0
Asa Banka	amenity	Sarajevo	latin	0
Atelje Club	amenity	Bihać	latin	0
Atelje Ismet Mujezinović	amenity	Tuzla	latin	1
Atelje Klub	amenity	Bihać	latin	0
Atik džamija	amenity	Bijeljina	latin	1
Atik, Behram-begova džamija	amenity	Tuzla	latin	1
Atos	amenity	Banja Luka	latin	0
Atos Bank	amenity	Banja Luka	latin	0
Atosbank	amenity	Banja Luka	latin	0
Aura Medic	amenity	Banja Luka	latin	0
Aurelia B&B	amenity	Mostar	latin	0
Aurora	amenity	Livno	latin	0
Aurum	amenity	Banja Luka	latin	0
Austrougarski golubarnik	amenity	Trebinje	latin	0
Auto / Tent Camping	amenity	Bihać	latin	0
Auto Centar Bane	amenity	Zvornik	latin	0
Auto Nuić	amenity	Mostar	latin	1
Auto Plin	amenity	Tuzla	latin	0
Auto Praona kod Omege	amenity	Tuzla	latin	0
Auto praona	amenity	Prijedor	latin	0
Auto praonica	amenity	Brčko	latin	0
Auto Škola Interval	amenity	Mostar	latin	1
Auto Škola Stil	amenity	Prijedor	latin	1
Auto škola Sfinga Banja Luka	amenity	Banja Luka	latin	1
Auto škola Vrbas	amenity	Banja Luka	latin	1
Autobuska stanica Bijeljina	amenity	Bijeljina	latin	0
Autobuska stanica Brčko	amenity	Brčko	latin	1
Autobuska stanica Cazin	amenity	Cazin	latin	0
Autobuska stanica Doboj	amenity	Doboj	latin	0
Autobuska stanica Goražde	amenity	Goražde	latin	1
Autobuska stanica Prijedor	amenity	Prijedor	latin	0
Autobuska stanica Travnik	amenity	Travnik	latin	0
Autobuska stanica Trebinje	amenity	Trebinje	latin	0
Autobuska stanica Tuzla	amenity	Tuzla	latin	0
Autobuska stanica Zenica	amenity	Zenica	latin	0
Autobuska stanica Zvornik	amenity	Zvornik	latin	0
Autobusna stanica-istok Mostar	amenity	Mostar	latin	0
Autobusni kolodvor Bihać	amenity	Bihać	latin	1
Autobusni kolodvor Mostar - Zapad	amenity	Mostar	latin	0
Autobusni kolodvor Ćićko Livno	amenity	Livno	latin	1
Automat club	amenity	Tuzla	latin	0
Automatikon s.p. - smart home systems	amenity	Banja Luka	latin	0
Autopraona	amenity	Mostar	latin	0
Autopraona "as auto"	amenity	Mostar	latin	0
Autopraona Rossi	amenity	Mostar	latin	0
Autopraona SAFFA	amenity	Mostar	latin	0
Autopraonica	amenity	Sarajevo	latin	0
Autopraonica 3D (vruc vosak)	amenity	Sarajevo	latin	0
Autopraonica Lauda	amenity	Sarajevo	latin	0
Autopraonica-Samouslužna	amenity	Sarajevo	latin	1
AutoŠkola Piljak	amenity	Mostar	latin	1
Autoškola GEJA	amenity	Tuzla	latin	1
Autoškola Lukić	amenity	Brčko	latin	1
Autoškola Rotor	amenity	Mostar	latin	1
Avatar	amenity	Banja Luka	latin	0
Avaz	amenity	Sarajevo	latin	0
Avenia	amenity	Banja Luka	latin	0
Avenija Doboj	amenity	Doboj	latin	0
Avlija	amenity	Sarajevo	latin	0
Azil pasa GŽ	amenity	Goražde	latin	1
Azra	amenity	Sarajevo	latin	0
Azurro	amenity	Mostar	latin	0
Azzuro	amenity	Sarajevo	latin	0
Ašcinica SG	amenity	Sarajevo	latin	1
Aščinica	amenity	Livno	latin	1
Aščinica "Bistro"	amenity	Mostar	latin	1
Aščinica ASDŽ	amenity	Sarajevo	latin	1
Aščinica Balkan II	amenity	Mostar	latin	1
Aščinica Misal	amenity	Mostar	latin	1
Aščinica Nar	amenity	Mostar	latin	1
Aščinica Sahan	amenity	Mostar	latin	1
B Pharm	amenity	Banja Luka	latin	0
B Pharm 07	amenity	Banja Luka	latin	0
B Pharm 22	amenity	Banja Luka	latin	0
B Pharm 40	amenity	Banja Luka	latin	0
B&M	amenity	Livno	latin	0
B&M Car Wash	amenity	Livno	latin	0
B-faza	amenity	Sarajevo	latin	0
B-king	amenity	Sarajevo	latin	0
BASH	amenity	Mostar	latin	0
BB DAS Trebinje	amenity	Trebinje	latin	0
BBI	amenity	Sarajevo	latin	0
BBI Banka	amenity	Zenica	latin	0
BBI banka	amenity	Tuzla	latin	0
BBI centar	amenity	Sarajevo	latin	0
BENJO	amenity	Sarajevo	latin	0
BH Posta	amenity	Mostar	latin	0
BH Pošta	amenity	Sarajevo	latin	1
BH Pošta Slavinovići	amenity	Tuzla	latin	1
BH posta - Dobrinja 5	amenity	Sarajevo	latin	0
BH pošta	amenity	Tuzla	latin	1
BIHAMK	amenity	Zenica	latin	0
BIHAMK Goražde	amenity	Goražde	latin	1
BIHAMK Poligon	amenity	Goražde	latin	0
BIO TIME	amenity	Mostar	latin	0
BIT centar 2	amenity	Tuzla	latin	0
BKC	amenity	Tuzla	latin	0
BL Bike - 2470 Centar - Gradska uprava	amenity	Banja Luka	latin	0
BL Bike - 2472 Studentski dom - Venecija most	amenity	Banja Luka	latin	0
BL Bike - 2473 Park Mladen Stojanović	amenity	Banja Luka	latin	1
BL Bike - 2474 Aquana	amenity	Banja Luka	latin	0
BL Bike - 2474 Obilićevo	amenity	Banja Luka	latin	1
BL-Vet	amenity	Banja Luka	latin	0
BOEM	amenity	Bihać	latin	0
BOHO	amenity	Trebinje	latin	0
BP Euro	amenity	Bijeljina	latin	0
BPPetric	amenity	Doboj	latin	0
BPŠ Banka	amenity	Banja Luka	latin	1
BPŠ Banka a.d.	amenity	Brčko	latin	1
BRDO Coworking Space	amenity	Tuzla	latin	0
BS Telecom Solutions	amenity	Sarajevo	latin	0
BaZZa	amenity	Mostar	latin	0
Babaloo	amenity	Sarajevo	latin	0
Babilon	amenity	Banja Luka	latin	0
Babylon	amenity	Sarajevo	latin	0
Bacač diska	amenity	Tuzla	latin	1
Backpackers	amenity	Mostar	latin	0
Bagdad	amenity	Bihać	latin	0
Bajra ugostiteljstvo	amenity	Travnik	latin	0
Bakarni Lonac	amenity	Brčko	latin	0
Baketića kolo	amenity	Trebinje	latin	1
Baki Car Detailing	amenity	Zenica	latin	0
Balagija	amenity	Livno	latin	0
Balgera	amenity	Zenica	latin	0
Balinovac	amenity	Mostar	latin	0
Balkan Ekspres	amenity	Sarajevo	latin	0
Balkan Investment Bank	amenity	Istočno Sarajevo	latin	0
Balkan pub	amenity	Brčko	latin	0
Baltazar	amenity	Sarajevo	latin	0
Bam-Investtrade Tuzla	amenity	Tuzla	latin	0
Bambi	amenity	Mostar	latin	0
Ban Tisa Milosavljević	amenity	Banja Luka	latin	1
Banja Luka	amenity	Banja Luka	latin	0
Banka poštanska štedionica	amenity	Banja Luka	latin	1
Bar Rebecca	amenity	Mostar	latin	0
Barbarosa	amenity	Sarajevo	latin	0
Barcode	amenity	Brčko	latin	0
Bare	amenity	Sarajevo	latin	0
Barimba	amenity	Mostar	latin	0
Baristo	amenity	Livno	latin	0
Barok - caffe & restaurant	amenity	Tuzla	latin	0
Barometar	amenity	Sarajevo	latin	0
Baron	amenity	Brčko	latin	0
Basket	amenity	Livno	latin	0
Bastion	amenity	Banja Luka	latin	0
Bato Petrol	amenity	Doboj	latin	0
Baza	amenity	Banja Luka	latin	0
Bašta kafe	amenity	Bijeljina	latin	1
Bašćine	amenity	Mostar	latin	1
Bašča kod Ene	amenity	Sarajevo	latin	1
Beach Bar Meduza	amenity	Tuzla	latin	0
Beach Bar The Beach	amenity	Tuzla	latin	0
Beach bar SUNSET	amenity	Zvornik	latin	0
Becner	amenity	Prijedor	latin	0
Beer ti & ja	amenity	Mostar	latin	0
Beerland	amenity	Prijedor	latin	0
Begsuja džamija	amenity	Zvornik	latin	1
Behar 2	amenity	Mostar	latin	0
Behteh	amenity	Brčko	latin	0
Bek	amenity	Brčko	latin	0
Belamionix BP	amenity	Brčko	latin	0
Beli Vuk	amenity	Istočno Sarajevo	latin	0
Bella Italia	amenity	Bihać	latin	0
Bella Maria	amenity	Bijeljina	latin	0
Belladona	amenity	Trebinje	latin	0
Bentley Pizza	amenity	Prijedor	latin	0
Benz Caffe	amenity	Banja Luka	latin	0
Benzinska postaja	amenity	Livno	latin	0
Benzinska postaja Auro	amenity	Livno	latin	0
Benzinska postaja B&M	amenity	Livno	latin	0
Benzinska pumpa	amenity	Bijeljina	latin	0
Benzinska pumpa Belamionix	amenity	Brčko	latin	0
Benzinska pumpa Intergaj	amenity	Bijeljina	latin	0
Benzinska pumpa MB Radić	amenity	Brčko	latin	1
Benzinska pumpa-Vinogradi 2	amenity	Trebinje	latin	0
Beogradska ulica - MTB City road	amenity	Sarajevo	latin	0
Berberović	amenity	Tuzla	latin	1
Berina Krnjić	amenity	Travnik	latin	1
Berlin Apartman	amenity	Brčko	latin	0
BetOle Automat klub	amenity	Brčko	latin	0
BetOle Slot klub	amenity	Brčko	latin	0
Betonska kuca	amenity	Livno	latin	0
Betty	amenity	Travnik	latin	0
Betty Apoteka	amenity	Doboj	latin	0
Bh pošta	amenity	Tuzla	latin	1
Bhtelekom	amenity	Tuzla	latin	0
Biblioteka "Filip Višnjić"	amenity	Bijeljina	latin	1
Biblioteka Sarajeva	amenity	Sarajevo	latin	0
Biblioteka grada Sarajeva	amenity	Sarajevo	latin	0
Biblioteka muftija Muhamed-ef. Zahirović	amenity	Banja Luka	latin	1
Biblioteka „Derviš Sušić“ Tuzla	amenity	Tuzla	latin	1
Bife Centar	amenity	Prijedor	latin	0
Big Ben Center for foreign languages	amenity	Tuzla	latin	0
Bijela džamija	amenity	Zenica	latin	1
Bijela tabija	amenity	Sarajevo	latin	0
Bijeli Bar	amenity	Mostar	latin	0
Bijelo Dugme	amenity	Prijedor	latin	0
Bikini	amenity	Bihać	latin	0
Biljana	amenity	Banja Luka	latin	0
Biljana & TJ	amenity	Banja Luka	latin	0
Biljna apoteka Megamedica	amenity	Sarajevo	latin	0
Biljni centar Herbalno	amenity	Mostar	latin	0
Billiard Club	amenity	Mostar	latin	0
Billy Blues Snooker	amenity	Tuzla	latin	0
Bingo Cafe Restaurant	amenity	Mostar	latin	0
Bingo parking	amenity	Sarajevo	latin	0
Biološka zbirka	amenity	Tuzla	latin	1
Bioskop	amenity	Trebinje	latin	0
Bira camp	amenity	Bihać	latin	0
Biro-rada	amenity	Bihać	latin	0
Bista "Kralj Petar I"	amenity	Trebinje	latin	0
Bista Martin Luther Kinga	amenity	Tuzla	latin	0
Bistrička česma	amenity	Sarajevo	latin	1
Bistro OpenAir	amenity	Bihać	latin	0
Bitcoin ATM - Shitcoins.club	amenity	Tuzla	latin	0
Bizi	amenity	Banja Luka	latin	0
Bla Bla	amenity	Sarajevo	latin	0
Black & White	amenity	Doboj	latin	0
Black Dog Pub	amenity	Mostar	latin	0
Black and white	amenity	Prijedor	latin	0
Black&White	amenity	Livno	latin	0
Blažena Djevica Marija	amenity	Mostar	latin	1
Blind Tiger	amenity	Sarajevo	latin	0
Blist	amenity	Sarajevo	latin	0
Blue	amenity	Bihać	latin	0
Blues Bar	amenity	Zvornik	latin	0
Bluz caffe	amenity	Banja Luka	latin	0
Bobar Banka	amenity	Bijeljina	latin	0
Bogorodica s djetetom Isusom	amenity	Mostar	latin	0
Bojić	amenity	Prijedor	latin	1
Bokvica	amenity	Banja Luka	latin	0
Bolnica "Srbija" Istočno Sarajevo	amenity	Istočno Sarajevo	latin	1
Bolnica "Sveti Vračevi" Bijeljina	amenity	Bijeljina	latin	1
Bolnica "Sveti apostol Luka"	amenity	Doboj	latin	0
Bolnica Travnik	amenity	Travnik	latin	0
Bolnica Trebinje	amenity	Trebinje	latin	0
Bolnica sveti arhiđakon Stefan – deveti januar, Trebinje	amenity	Trebinje	latin	1
Bolnica za plućne bolesti i tuberkulozu Travnik	amenity	Travnik	latin	1
Bolnička kapela Preobraženja Gospodnjeg	amenity	Mostar	latin	1
Bon appetit	amenity	Livno	latin	0
Bona Fides	amenity	Banja Luka	latin	0
Bonaca	amenity	Bihać	latin	0
Bonitet	amenity	Cazin	latin	0
Boom Boom Room	amenity	Banja Luka	latin	0
Boračka organizacija Republike Srpske	amenity	Banja Luka	latin	1
Borići TRC	amenity	Bihać	latin	1
Bosanska Kafa	amenity	Sarajevo	latin	0
Bosanska kuća	amenity	Brčko	latin	1
Bosanski kulturni centar	amenity	Tuzla	latin	0
Bosansko narodno pozorište u Zenici	amenity	Zenica	latin	1
Bosna	amenity	Sarajevo	latin	0
Bosna Bank International	amenity	Sarajevo	latin	0
Bosnafarm	amenity	Tuzla	latin	0
Bosnafarm Slatina	amenity	Tuzla	latin	0
Bosnalijek	amenity	Sarajevo	latin	0
Bosnatransport d.d.	amenity	Sarajevo	latin	0
Boss	amenity	Sarajevo	latin	0
Bossova Kuća	amenity	Sarajevo	latin	1
Boulevard	amenity	Sarajevo	latin	0
Boutique Hostel Sky Lounge	amenity	Mostar	latin	0
Box	amenity	Banja Luka	latin	0
Božur	amenity	Banja Luka	latin	1
Božurdent	amenity	Banja Luka	latin	1
Bradvičko kolo	amenity	Trebinje	latin	1
Brajlović	amenity	Sarajevo	latin	1
Branilaca Goražda	amenity	Goražde	latin	1
Brankovića Kula	amenity	Trebinje	latin	1
Brasil	amenity	Sarajevo	latin	0
Brazil	amenity	Sarajevo	latin	0
Braća Durić	amenity	Cazin	latin	1
Brcko Rent	amenity	Brčko	latin	0
Bridge Caffe & Restaurant	amenity	Zvornik	latin	0
Bridž	amenity	Banja Luka	latin	1
Bristol	amenity	Goražde	latin	0
Brzogriz	amenity	Goražde	latin	0
Brčko Gas	amenity	Brčko	latin	1
Brčko Gas Tehnički pregled	amenity	Banja Luka	latin	1
Brčko gas	amenity	Istočno Sarajevo	latin	1
Brđanska džamija	amenity	Tuzla	latin	1
Bubamara / Ladybug	amenity	Mostar	latin	0
Budget	amenity	Mostar	latin	0
Budućnost KUD	amenity	Banja Luka	latin	1
Buena Vista	amenity	Mostar	latin	0
Buffalo	amenity	Bijeljina	latin	0
Bulls	amenity	Trebinje	latin	0
Bum Bar	amenity	Tuzla	latin	0
Bure	amenity	Goražde	latin	0
Buregdžinica	amenity	Sarajevo	latin	1
Buregdžinica "Sač"	amenity	Sarajevo	latin	1
Buregdžinica Belma	amenity	Zenica	latin	1
Buregdžinica Ekinović	amenity	Zenica	latin	1
Buregdžinica Hamzić-A	amenity	Zenica	latin	1
Buregdžinica Index	amenity	Sarajevo	latin	1
Buregdžinica Lađana	amenity	Zenica	latin	1
Buregdžinica MM	amenity	Sarajevo	latin	1
Buregdžinica Rođeni	amenity	Mostar	latin	1
Buregdžinica Sarajka	amenity	Sarajevo	latin	1
Buregdžinica Specijal	amenity	Sarajevo	latin	1
Buregdžinica Taak Koševsko Brdo	amenity	Sarajevo	latin	1
Burger Stop	amenity	Mostar	latin	0
Burgerizam	amenity	Sarajevo	latin	0
Buvlja pijaca	amenity	Tuzla	latin	0
