file	text	confidence
mly_1098600857298858_001.png	OSIGURANJE VOZILA	0.90
mly_1098600857298858_002.png	TEHNICKI PREGLED	0.91
mly_1098600857298858_003.png	ZAMJEI	0.90
mly_1098600857298858_004.png	GUMA	1.00
mly_1099581313860141_007.png	CVJECARNICA	0.98
mly_1099581313860141_009.png	"LUCIJA"	0.91
mly_1099581313860141_014.png	STOL	0.98
mly_1104148980075233_000.png	APOTEKA	0.96
mly_1109376283674129_000.png	huc	0.87
mly_1112401646154840_000.png	devet	0.95
mly_1114289959050831_002.png	PECENO	0.98
mly_1116937812108878_001.png	Heineken	1.00
mly_1117874179248547_000.png	emmezeta	0.99
mly_1118422103410331_000.png	BLAU	0.95
mly_1122068942381572_001.png	039kih	0.85
mly_1123200852843129_000.png	NZUM	0.97
mly_1123200852843129_003.png	KONZU	0.92
mly_1123585959428249_001.png	LINE	1.00
mly_1124812798002901_001.png	Cental	0.99
mly_1125046337971327_003.png	BICIKLI	1.00
mly_1125046337971327_005.png	SERVIS	0.95
mly_1125046337971327_006.png	TREK	1.00
mly_1131519965095797_000.png	felicita	0.95
mly_1131613155487890_000.png	DENTE	1.00
mly_1140543706668849_002.png	VILI	0.98
mly_1143989817432852_002.png	Staropramen	0.88
mly_1146970459202606_000.png	RENT	0.99
mly_1147198615706121_002.png	DUBRAVICA	1.00
mly_1147198615706121_003.png	peciy	0.96
mly_1147380635774537_001.png	Guaco	1.00
mly_1150937675378900_000.png	KVL	0.99
mly_115156043968262_000.png	SREBRO	1.00
mly_115156043968262_007.png	OTKUP	0.94
mly_1154631802278187_006.png	WWW.LAFCLUBHR	0.92
mly_1155949341907737_000.png	ELEKTROINSTALACIJE	1.00
mly_1155949341907737_003.png	KLIMATIZACIJE	1.00
mly_1155949341907737_004.png	GRIJANJA	0.91
mly_1155949341907737_005.png	PODNA	1.00
mly_1164247920689381_001.png	Mobilno	0.91
mly_1165569055257230_000.png	Gym	0.96
mly_1167068243722399_000.png	TACO	0.99
mly_1171411220220094_003.png	Jana	0.99
mly_1171629840203210_004.png	VILLA	0.90
mly_1172523883220258_000.png	APOTEKA	0.98
mly_1173812849750643_000.png	Purex	1.00
mly_1173812849750643_007.png	PUR GERI	0.95
mly_1175555673843519_000.png	Centar	1.00
mly_1176340573200545_000.png	Gavranovic	1.00
mly_1187459611696886_001.png	Apoteka	0.99
mly_1193529557741798_000.png	BIPA	0.97
mly_1200888264560686_000.png	FRANC	1.00
mly_1202174407870788_002.png	MGA	0.86
mly_1202174407870788_010.png	MGA	0.99
mly_120371023965807_015.png	Scope	0.93
mly_1204016490370038_000.png	Helnel	0.86
mly_1204038930105069_000.png	AJSA	0.99
mly_1204398649998137_002.png	Bers	0.99
mly_1205228696602468_000.png	BESPLATNO STROJNO	0.98
mly_1205228696602468_001.png	NIJANSIRANJE BOJA	0.89
mly_1205228696602468_008.png	BONDEX	0.91
mly_1216449245980205_000.png	KONZUN	0.99
mly_1216449245980205_002.png	KFC	1.00
mly_1221564501708198_000.png	COPYSERVIS	0.99
mly_1224183568344759_000.png	ERSTE	0.89
mly_1230802304223128_000.png	CASINO	0.93
mly_1231208481016260_005.png	Bau	0.90
mly_1237124520090904_000.png	AJSA	1.00
mly_1244894593202964_000.png	ROATIA AIRLINES	0.95
mly_1253230028673995_000.png	national	1.00
mly_1253622935412043_002.png	NAJE	1.00
mly_1253622935412043_003.png	IMO	0.89
mly_1255439601539141_001.png	VIDEO	0.91
mly_1258633588119791_014.png	ANIKA	0.86
mly_1273127980959914_002.png	STORE	0.89
mly_1273707434865980_000.png	ce puno	0.92
mly_128415619838316_002.png	Pellegrino	1.00
mly_128415619838316_003.png	AUTOPREVOZ-BUS	0.86
mly_1285776121832372_001.png	Bolnica	1.00
mly_1287893256070135_001.png	TAXI	0.98
mly_1295866362637930_000.png	ADMIRAL	0.99
mly_1298470633902258_001.png	DRVA	1.00
mly_1302300597869829_000.png	PROSTOR	0.99
mly_1310723579459856_000.png	ŽELIM	0.99
mly_1310723579459856_001.png	ŽELIM	1.00
mly_1313468680465868_003.png	KEMIJSKA	1.00
mly_1323357011494025_001.png	DAN	0.99
mly_1323357011494025_004.png	KFC	1.00
mly_132382208933419_000.png	ALDEN	0.98
mly_132958899415848_003.png	NKD	0.85
mly_1336006107416854_000.png	ROTA	0.97
mly_133680912043871_000.png	TOP	0.88
mly_1339689234257424_000.png	MaxMara	1.00
mly_1345261739284387_000.png	SRETAN	0.88
mly_1353163095068647_001.png	JUHANPROMET	0.88
mly_135645031920331_000.png	IOBACCO	0.97
mly_1357501362803944_001.png	ULICA	1.00
mly_1358970087835985_001.png	Jeep	0.99
mly_1360700727631125_002.png	MJENJACNICA	0.96
mly_1360700727631125_003.png	bere	0.92
mly_1360700727631125_004.png	EXCHANGE	0.90
mly_1363763605519779_000.png	Uvk uz	0.86
mly_1366172040428466_000.png	Sarajevo	0.93
mly_1378559354148837_000.png	CORNARO	0.89
mly_138106941701682_000.png	TOKIQ Sigurnost u pokretu	0.86
mly_1385261865173715_001.png	Gebrüder Weiss	0.94
mly_138539765420250_004.png	BIGGER	0.96
mly_1392429341815692_000.png	ance	1.00
mly_1395998417444335_003.png	INJAK	0.97
mly_1399740883737389_001.png	Ziel	1.00
mly_1399740883737389_002.png	Rabljena !	0.87
mly_140070632469344_007.png	Jana	1.00
mly_1405246368087267_002.png	Sustipan	1.00
mly_1405246368087267_007.png	CARBONATED	1.00
mly_1408543796145242_001.png	gorenje	0.93
mly_1411014045899682_000.png	[ZALA	0.94
mly_1414989648987643_002.png	Miele	1.00
mly_141742941272649_001.png	ALMIRA	1.00
mly_142322854524640_000.png	STELLA	1.00
mly_142322854524640_002.png	ARTOIS	0.96
mly_1430952011284798_000.png	MOBITEL	1.00
mly_143139707827330_003.png	ZANZI	0.99
mly_1441034223409376_000.png	Utrina	1.00
mly_145005510976250_001.png	na 3000 m2	0.97
mly_145421174222975_005.png	MEPAM	0.92
mly_1456824496183603_002.png	Irs	0.97
mly_145707597536835_001.png	HIPERMARKET	1.00
mly_145707597536835_002.png	Bingo	1.00
mly_145717844737235_001.png	Augusta Harambašiéa	0.90
mly_1463501120998741_002.png	utoservis	0.86
mly_146657971309960_000.png	[Gornja	0.88
mly_146657971309960_004.png	Kustosija	0.95
mly_1472480543664757_000.png	emmezeta	1.00
mly_1472480543664757_005.png	MERKURY	1.00
mly_1472480543664757_006.png	emmezeta	1.00
mly_1478924992750450_002.png	Addiko Bc	0.99
mly_1478924992750450_005.png	URAR	1.00
mly_1480053915665069_002.png	KONZUM	0.87
mly_1483927609748115_000.png	AIM	0.86
mly_150614070348453_001.png	Zag	0.99
mly_150614070348453_002.png	Cer	0.99
mly_1509815791189515_000.png	Prehrana	0.89
mly_1511181473966119_002.png	PIVNICA	0.97
mly_1515834096918579_000.png	Imerkur	0.90
mly_1534025710136694_002.png	VRANAC	1.00
mly_1546550642627100_001.png	EKS	0.91
mly_154926259923632_002.png	Sava	0.99
mly_1556388888645491_000.png	Tra	0.92
mly_1558507645762155_001.png	Sustipan	0.97
mly_1565479148426502_000.png	PRI	1.00
mly_1565479148426502_001.png	Money	0.99
mly_1565479148426502_002.png	Exchange	0.97
mly_1570652766879318_000.png	KRVI	0.89
mly_1573605383694209_007.png	lebe	0.93
mly_158742986183045_001.png	epo	0.95
mly_1588048409663568_003.png	Next day service	0.97
mly_1588048409663568_006.png	DROP	1.00
mly_1588048409663568_007.png	LAUNDRY	0.99
mly_1589355592150210_000.png	ARMY	1.00
mly_159152006222122_001.png	supermarket	0.93
mly_159152006222122_003.png	komerc	1.00
mly_1602981993425004_000.png	AQUAESTIL	0.93
mly_1603157619880109_001.png	najbolje za gradnju	0.93
mly_1603157619880109_002.png	SECURITAS	0.94
mly_160509076026888_000.png	PLINA	0.96
mly_1617423859539567_003.png	TRIPS -	0.88
mly_161994192473150_001.png	OND	0.92
mly_163765646120498_002.png	satovi	0.91
mly_163799372219903_000.png	PANDORA	0.95
mly_1641204149405973_003.png	Traje	1.00
mly_1645430479395999_000.png	Karlovacko	0.95
mly_1648429132024858_000.png	DPD	1.00
mly_1648429132024858_001.png	Paketna Dostava	0.93
mly_1648528392356134_010.png	Reljevo	0.93
mly_1650676649558558_000.png	Tai	0.92
mly_1652975041576559_000.png	TRON	0.88
mly_1662456981234828_007.png	Tonus	0.95
mly_1662499493960990_000.png	ŠKOLA	1.00
mly_1664867750369027_003.png	BOBIS	0.99
mly_1666695514746398_002.png	cast	0.89
mly_167043598653369_000.png	Coloseum Club	0.96
mly_1671718436541977_003.png	KFC	1.00
mly_1671718436541977_009.png	KONZUM	1.00
mly_1671920326827824_000.png	omlinar	0.98
mly_1675660546592518_007.png	COLOR	0.95
mly_1675660546592518_009.png	UVEZI	0.91
mly_167638868622686_003.png	GIARHIV	0.89
mly_1677482016426392_002.png	našoj prirodi	0.97
mly_1680413796075275_000.png	PROSTOR	0.99
mly_1682844922871526_001.png	ptotim	1.00
mly_168393921878013_000.png	uregdzinica	0.97
mly_1697583477949567_000.png	ZAVRTNICA	0.91
mly_169802928363626_003.png	Jura	0.87
mly_169802928363626_006.png	POPRAVCI	0.99
mly_169802928363626_007.png	ODJECE	0.95
mly_1701017580703403_000.png	Charlie Chaplin	0.92
mly_170154178713472_000.png	Postolar	0.91
mly_1702225250199693_005.png	UFF	0.99
mly_170656888298768_001.png	mach	1.00
mly_170951304930127_000.png	GABELINA	0.99
mly_171115394896025_001.png	KIDS	0.97
mly_1712897922583648_000.png	STOP	0.89
mly_171675139157241_000.png	EKOPLUS	0.99
mly_172499648163070_000.png	CENTAR	0.98
mly_1730027787513255_006.png	BLACRUUE	0.91
mly_1734169767726016_000.png	service	0.96
mly_1736843497315891_004.png	TVOJA |	0.91
mly_1742229973798381_000.png	CORNARO	0.91
mly_174237174578184_003.png	Looro	0.97
mly_1752206342462595_000.png	ORNAR	0.95
mly_175614757795804_003.png	nove	0.87
mly_175614757795804_005.png	Banka	1.00
mly_176291577739901_000.png	brc	1.00
mly_1764504597342293_000.png	Auto	0.96
mly_177289077610973_000.png	MESARA	0.85
mly_1791157017980792_000.png	STOP	0.99
mly_179644193939498_000.png	VFC	0.99
mly_180336167318653_001.png	MTB CITY ROAD	0.97
mly_180957080574185_009.png	Sava	1.00
mly_1811267519034686_000.png	Miele	1.00
mly_181175550523796_002.png	banka	1.00
mly_1815330915959858_003.png	Stars	1.00
mly_181646000540111_000.png	KAOS	0.91
mly_1820352538141606_008.png	KEE	0.94
mly_1820352538141606_009.png	CAU	0.94
mly_182991063763415_001.png	emmezeta	1.00
mly_1829930027710461_001.png	Baj	1.00
mly_1846678425510654_002.png	PACIFIK	1.00
mly_185152866800684_001.png	Nana	1.00
mly_1851744391662287_000.png	PEKARA	1.00
mly_1852834115402315_001.png	INSTALACIJE	0.96
mly_1856141931244243_000.png	HUJKA	0.93
mly_187532089891749_000.png	BUREGDZINICA	0.94
mly_1903647386941850_001.png	IZLAZ	0.99
mly_1903731286984156_000.png	ebe	0.91
mly_191965706161695_003.png	HOTEL	1.00
mly_192401532715785_005.png	ONA	1.00
mly_1933365350146395_000.png	marker	0.90
mly_193885489254665_001.png	SRC Salata	0.94
mly_194169392434384_005.png	PIZZA	0.89
mly_1952842748409455_001.png	Ne zabora	1.00
mly_1960485614547465_000.png	Consul	0.99
mly_1969465086989673_000.png	Gis	1.00
mly_197657748857089_003.png	Donalas	0.88
mly_1991040421064923_001.png	OML	0.85
mly_1992348650922049_004.png	Sajmište	0.97
mly_1992348650922049_006.png	Smetovi	1.00
mly_1992348650922049_007.png	Muzej grada	0.88
mly_200557898352900_001.png	KDS	0.99
mly_2012258149230174_001.png	CITY	0.93
mly_2015535845978197_000.png	tarna	0.95
mly_2019720408192398_002.png	OTKUP	1.00
mly_202183154912843_000.png	HOTEL	1.00
mly_2035498460339698_000.png	AUTO PRO	0.89
mly_2050256339255712_000.png	Travanj	0.99
mly_2074724603400524_000.png	CED	0.91
mly_2075158216377845_000.png	Centa	0.97
mly_2099418780655690_000.png	Bolt	1.00
mly_212591590416013_001.png	UPIS	0.99
mly_212591590416013_002.png	TOKU	0.90
mly_213006823610060_001.png	OIL	0.97
mly_213092020622304_008.png	lexy	0.87
mly_2131266160767016_000.png	PRI	0.98
mly_213389070214750_002.png	(KIOSK+)	0.98
mly_214971850065136_001.png	Mstra	0.96
mly_2151608262014996_001.png	MaxMara	1.00
mly_2151608262014996_002.png	MaxMara	0.92
mly_2163051747865413_000.png	BOBTS	0.93
mly_2163051747865413_001.png	Travanj	1.00
mly_216610253228943_000.png	LagermaX	0.89
mly_216970154400072_000.png	ternational	0.96
mly_2187493575511131_000.png	ATM	1.00
mly_219782426377077_001.png	(STOP	0.85
mly_219951289461485_001.png	nude	0.99
mly_220620733198835_001.png	AUTOPRAONA	0.95
mly_221355652796990_002.png	LEhouse	1.00
mly_221355652796990_005.png	cond hand	1.00
mly_222142302635126_004.png	PECENO	0.99
mly_225733922256819_001.png	Jahorina	0.99
mly_225733922256819_004.png	Lukavica	0.89
mly_225733922256819_005.png	Pale	1.00
mly_2259980604417805_003.png	SUPERDRY	1.00
mly_227778522440493_000.png	KIDS	1.00
mly_228190596549901_000.png	SKOLA	0.89
mly_2288846057991317_001.png	CITY	0.99
mly_2319504001844144_002.png	MAGNET	1.00
mly_233212535257408_001.png	BANK	1.00
mly_2340334529651296_000.png	ema	0.98
mly_2355326131523962_000.png	Cro	0.88
mly_2355326131523962_001.png	Club	0.99
mly_2387052211487088_001.png	PIN	1.00
mly_245542750649489_000.png	MESNICA	1.00
mly_245542750649489_002.png	MESNICA	0.97
mly_24560808486844741_000.png	ance	0.96
mly_24591864473775066_000.png	dollar	1.00
mly_24591864473775066_002.png	dollar	0.96
mly_248822304025608_001.png	Cetin	1.00
mly_252946094398477_000.png	Dubrava	0.96
mly_252946094398477_001.png	Sesvete	1.00
mly_253751179830852_000.png	marketi	0.97
mly_256883332851290_002.png	POŠTANSI	0.97
mly_2569885433315139_000.png	PRESELILI	0.99
mly_2569885433315139_001.png	U NOVI	0.99
mly_2569885433315139_003.png	CENTAR KVATERNIK PL	1.00
mly_2571203239996920_000.png	RITAM	0.99
mly_2571203239996920_002.png	Ijeta	0.99
mly_258445705981916_000.png	MARCAIN	1.00
mly_2605001033126353_000.png	Skolska	0.99
mly_2605001033126353_001.png	Datrola	0.85
mly_262037662001775_001.png	Market	1.00
mly_2626790927621022_001.png	Super	1.00
mly_26347527551583476_002.png	ana	1.00
mly_26718511997780947_000.png	PRIMA	0.92
mly_268679946157659_002.png	PECENO	0.98
mly_2702264630146643_001.png	OPT	0.87
mly_2702264630146643_002.png	telema	0.99
mly_2747824065509396_000.png	BABOS	0.88
mly_274933860901654_000.png	Baumit	0.88
mly_275310798537721_000.png	Zagr	0.86
mly_281003140352799_001.png	Uka	1.00
mly_281003140352799_002.png	pandd	0.89
mly_2837494289958949_000.png	Osim	1.00
mly_283943657758017_000.png	Centar	1.00
mly_284599753341148_000.png	banka	1.00
mly_2858861724368152_004.png	CEV	0.98
mly_2859357107612670_002.png	GARAŽA - ULAZ	0.91
mly_2860575980872815_004.png	kvalitete	0.99
mly_2860575980872815_008.png	SATA	0.98
mly_2863725907177859_003.png	ROPOLIS	0.99
mly_2870046349918735_000.png	Aulo	0.99
mly_287038693058598_001.png	KONZUM	1.00
mly_2871377233100497_003.png	PAPIR	0.94
mly_2871776109736051_003.png	dve	1.00
mly_2878222542570001_001.png	EUROMR	1.00
mly_2878222542570001_003.png	Mob:	0.93
mly_2884490335195977_001.png	KFC	0.86
mly_2889129827995611_000.png	SCC	1.00
mly_2890035827937153_008.png	RETO	0.99
mly_2890035827937153_009.png	CENTAR	0.98
mly_289468212897586_000.png	ance	0.96
mly_290278485766309_001.png	guma	0.98
mly_2903907446573743_002.png	NKD	0.97
mly_290599592614428_001.png	Mostar	1.00
mly_290599592614428_003.png	Hrasno	0.99
mly_290599592614428_004.png	Tuzla	1.00
mly_2932975996992168_004.png	cLean	0.85
mly_293660262328323_000.png	KONCAR	0.96
mly_294028455392055_002.png	supermarket	1.00
mly_294028455392055_004.png	Komerc	0.85
mly_294855155440092_000.png	IICA	0.89
mly_294855155440092_003.png	Umbrella	0.94
mly_2949882761825957_000.png	MESNICA	0.99
mly_295289342043150_000.png	BANKOMAT	1.00
mly_295826778830428_003.png	vieruju	0.94
mly_295916168837443_000.png	SFRVIS	0.89
mly_297049898760094_002.png	KVALIFICIRAJ	0.98
mly_297218785449730_001.png	Samo najbolje	1.00
mly_297218785449730_002.png	Al najbolja mobilna	0.85
mly_297402268518477_000.png	PROCULIN	0.98
mly_297718971977988_000.png	Djecji	0.98
mly_297718971977988_002.png	vrtic	1.00
mly_297718971977988_003.png	DVORAC"	0.97
mly_298466468439812_000.png	KONZUM	1.00
mly_2987023961520720_003.png	nenny	1.00
mly_2987023961520720_006.png	cafie	0.86
mly_298909565036796_001.png	BRCKANJE	0.98
mly_299596678433272_003.png	Tuzla	1.00
mly_299596678433272_004.png	Sepetari	1.00
mly_299816838450325_001.png	MITEX	1.00
mly_3008157722764826_001.png	FOTO CVF	0.93
mly_300900955012455_002.png	REFRESHING	1.00
mly_300979944858227_000.png	ZELENA	0.97
mly_301390698205909_000.png	EGA	0.99
mly_303393514594587_001.png	guma	0.95
mly_306058598390452_000.png	Dominos Pizza	1.00
mly_306355221067854_000.png	Terrano	0.94
mly_308179817550411_000.png	Servis	0.95
mly_308859700628847_000.png	MARCAIN	0.98
mly_3094609714014514_000.png	ROX	0.94
mly_312575083783123_001.png	DONER	0.86
mly_3141383549505431_000.png	CASI	0.99
mly_316403073273232_000.png	Aur	0.99
mly_318570689628653_002.png	mlinar	0.92
mly_318570689628653_006.png	POSTANS	0.99
mly_319457089551337_000.png	25 EUROHERC	0.98
mly_3194621384171295_000.png	Prin	1.00
mly_319669706183259_000.png	Bunjo	1.00
mly_321570603540681_001.png	Bolnica	0.99
mly_321570603540681_002.png	Stadion	0.89
mly_323831745823448_001.png	mac.	1.00
mly_324186552586598_000.png	CAFFE & PIZZERIA	0.96
mly_324294875786444_003.png	ivaš dom	0.99
mly_324294875786444_005.png	TEZOVE	0.86
mly_324616569005857_015.png	ULAz	0.95
mly_324616569005857_020.png	ALU nosic	0.88
mly_325531785609963_004.png	FULDA	1.00
mly_325531785609963_005.png	Sava	1.00
mly_325732419574875_000.png	COPYSERVIS	0.99
mly_3268383573445895_000.png	Prehran	0.98
mly_327030988753599_001.png	TEZO	0.85
mly_329115758574710_002.png	WESTPORT	1.00
mly_329115758574710_005.png	BANKA	0.98
mly_335354514624245_003.png	WESTPORT	0.98
mly_3380203322132968_001.png	Opti	1.00
mly_339388358519297_000.png	City Star	0.94
mly_346259140234232_000.png	ZA VOZILA	0.97
mly_346259140234232_003.png	TŽl - GREDELJ	0.87
mly_3476780572480895_000.png	SPORTSK	0.89
mly_3499698373464940_005.png	agens	1.00
mly_3509651509135927_000.png	BROJLER	0.89
mly_351554791226558_000.png	Lutrija	0.98
mly_352205310869032_000.png	dntonija	0.85
mly_352429054146230_000.png	LJEKARN	0.94
mly_3548485465251933_000.png	LEGA	0.93
mly_357211519308288_001.png	alta	0.87
mly_357470700255010_002.png	OPTIKA CURIN	0.99
mly_3580008648794671_001.png	IMIKA	0.99
mly_3580008648794671_005.png	Poliklinika	0.95
mly_359583293864299_000.png	MAR	1.00
mly_365281826381917_001.png	XRoiffeisen Bank	0.93
mly_3664994707120510_000.png	ZARU	0.99
mly_368236051204242_000.png	Kupujm	0.99
mly_369831091107245_000.png	mlinar	1.00
mly_370420394385835_002.png	PULLGBEAF	0.96
mly_370420394385835_003.png	PULL;	0.86
mly_371820047474202_000.png	NLB	0.88
mly_373699528133154_000.png	Pizza	0.96
mly_373699528133154_001.png	Dominos	0.97
mly_375133373859501_002.png	KMu	1.00
mly_375133373859501_014.png	marjiz	0.88
mly_375670893783366_000.png	PEGAZ	0.88
mly_375915393738587_000.png	Osim	0.99
mly_376345438719219_000.png	6Breyer	0.90
mly_377525060251606_000.png	Luxe	1.00
mly_377525060251606_001.png	Cornaro	1.00
mly_377525060251606_002.png	Globo	1.00
mly_377525060251606_003.png	Park	0.85
mly_382289443059602_000.png	Stomatološka	0.96
mly_382289443059602_001.png	ordinacija	0.96
mly_3847762658655437_004.png	JEN	0.87
mly_387207203301534_000.png	emme	1.00
mly_3883366495312031_001.png	ema	0.93
mly_3899705193476166_001.png	DEBOS	0.99
mly_392867153302867_000.png	[IVETA	0.88
mly_3958607410920496_001.png	Aerodrom	1.00
mly_3958607410920496_002.png	Aepoapom	0.87
mly_3958607410920496_003.png	Dobrinja	0.85
mly_3969709316432118_000.png	Grand	0.88
mly_3984439284935259_003.png	kisellak	0.98
mly_4033498973352889_003.png	INS	0.92
mly_4039021189498080_001.png	LOCCITANE	0.88
mly_405169297211971_000.png	IZLAZ	1.00
mly_405169297211971_001.png	ULAZ	0.94
mly_4067951566668170_000.png	Meg	1.00
mly_4089986247762827_000.png	Vispak	0.91
mly_410395220649802_005.png	ŠVABO	1.00
mly_415176894347378_000.png	KONZUM	0.95
mly_4172857599461317_001.png	KOBRA	1.00
mly_424939723724957_000.png	053kih	0.91
mly_4251995924852901_000.png	HOTEL	1.00
mly_4273971062647768_005.png	ZAVJETNA CRKVA	0.97
mly_4273971062647768_006.png	NJOME	1.00
mly_4273971062647768_007.png	NAŠ HRVATSKI NAROD!	0.89
mly_4273971062647768_009.png	CITAV	1.00
mly_429712773528345_001.png	Aut	1.00
mly_433866718653020_003.png	MADISON	0.96
mly_448286103222071_000.png	VICA	0.91
mly_448491554615953_000.png	ATM	1.00
mly_452654684260564_003.png	OTKUP	0.99
mly_452654684260564_004.png	ZLATA	0.94
mly_453786132390094_007.png	SEZONA 2015/2016	0.99
mly_454343168963697_000.png	KVL	0.98
mly_455117925855572_000.png	ecco	0.99
mly_455117925855572_001.png	'hotel	0.87
mly_455924675709316_001.png	Absolute	0.99
mly_456141285485846_000.png	SHOP	0.94
mly_456141285485846_004.png	MUŠKA	1.00
mly_456141285485846_005.png	njegu pasa RUB	0.90
mly_456141285485846_007.png	RUBY	0.99
mly_456141285485846_009.png	Rascesljavanje	0.96
mly_458398418603092_001.png	Astra	0.96
mly_460104831732501_000.png	ban	1.00
mly_460327311926597_000.png	AUSPUH-VULKANIZER	0.86
mly_460520258379534_000.png	(STOP	0.95
mly_460556558576036_000.png	PENNY	0.96
mly_460556558576036_002.png	focus	0.88
mly_460556558576036_003.png	ULAZ	1.00
mly_4640975272583226_000.png	NEBER	0.99
mly_464559178181792_000.png	ultra	0.87
mly_467039624397079_000.png	APOTEKA	1.00
mly_467552267844254_001.png	Cotpbanka	1.00
mly_467570900998250_003.png	TRAFIKA	0.99
mly_467902771149240_004.png	GIANNELLI	0.85
mly_468633474217376_006.png	SAMI	0.95
mly_468633474217376_009.png	fokus	0.89
mly_468929470849225_000.png	AQLOBANKA	0.92
mly_469697264250833_000.png	JET	0.96
mly_469697264250833_005.png	STAR	1.00
mly_470660190808692_009.png	CVJECARNICA	0.99
mly_470660190808692_013.png	SVIEŽE	0.98
mly_470743347520411_000.png	les	0.97
mly_471107090809182_000.png	telemach	1.00
mly_471107090809182_001.png	Tuzla	0.90
mly_473152522280537_011.png	LAMPER	1.00
mly_473278017084602_003.png	Prehrana	1.00
mly_473278017084602_004.png	rana	0.96
mly_473978530554538_001.png	Nihadom	0.98
mly_473978530554538_002.png	Alibegovicem	0.90
mly_474067194021300_000.png	MARTIMEX	1.00
mly_474067194021300_003.png	CHANEL	1.00
mly_475602020396451_000.png	Nula	0.99
mly_475650090594018_003.png	Doc	0.87
mly_476300311467381_000.png	KONCAR	0.96
mly_476864636967129_000.png	stovi	0.85
mly_479223526492847_001.png	ENJOY	0.96
mly_480669939854185_002.png	iNovine	0.94
mly_481892532999112_000.png	Tax	1.00
mly_482485536329245_003.png	BASTA	0.99
mly_482731296114427_000.png	NER	0.96
mly_484946429287507_000.png	KING	0.93
mly_486234056034403_000.png	KONZUM	0.98
mly_487237676029910_002.png	Gorazde	0.99
mly_487237676029910_003.png	Pale	1.00
mly_487586889221781_002.png	Stambeni	1.00
mly_487873045601550_000.png	CEVABDZINICA	0.88
mly_488881772385094_002.png	AUTOKLIME	0.98
mly_490305639050075_001.png	NOA	0.97
mly_490729000460795_000.png	BIPA	1.00
mly_492033870240235_002.png	MAR	1.00
mly_492033870240235_003.png	MAR	1.00
mly_492426955525912_000.png	DIVAN	0.89
mly_493902071950072_000.png	psta	0.92
mly_493902071950072_001.png	Exchar	0.97
mly_494662581884380_003.png	(MAXIMARKET	0.86
mly_494662581884380_005.png	LUNARI	1.00
mly_494854188320909_000.png	PULLGBEAR	0.95
mly_495522528251767_000.png	SCC	0.99
mly_496803593109140_002.png	Dubrovnik	0.98
mly_496803593109140_003.png	Centar	1.00
mly_496861326425807_000.png	[XENIA DESIGN	0.87
mly_496861326425807_002.png	TEHNIKA	1.00
mly_497602056145321_000.png	ROTA	0.90
mly_498131461385686_003.png	Stor	0.91
mly_498220381632895_000.png	2 sata	0.89
mly_500588237732685_000.png	KRKA	1.00
mly_501120747993043_000.png	VANI	0.99
mly_502062847975821_000.png	ONITA	0.95
mly_502187956008087_000.png	Ože	0.99
mly_502717684501714_000.png	PROSTOR	0.89
mly_504020924338848_002.png	~farmacia	0.95
mly_504067487432651_000.png	UDINE	0.88
mly_504131208108544_003.png	PSK	0.87
mly_506223237182680_000.png	Opcina	1.00
mly_506719667018353_000.png	(STOP	0.97
mly_506938163688257_001.png	Servis	0.89
mly_510481543467667_002.png	VRA	0.99
mly_511893433409730_001.png	PATRIZIA PEPE	0.90
mly_512185079794824_003.png	trer	1.00
mly_512185079794824_007.png	dejstvima p	0.90
mly_512590426447349_004.png	Ora	1.00
