case_id	source	bs	en	terms	categories	accept_en	variant_bs	variant_swaps
flores-42	flores	Meteorolozi tvrde da će oluja, koja je aktivna na oko 645 milja (1040 km) zapadno od Zelenortskih ostrva, vjerovatno oslabiti prije nego što postane prijetnja bilo kojem kopnenom području.	The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.	vjerovatno	yat	likely	Meteorolozi tvrde da će oluja, koja je aktivna na oko 645 milja (1040 km) zapadno od Zelenortskih ostrva, verovatno oslabiti prije nego što postane prijetnja bilo kojem kopnenom području.	vjerovatno>verovatno
flores-45	flores	Arthur Guinness je 24. septembra 1759. godine potpisao zakup na 9.000 godina za pivaru St James‘ Gate u Dublinu u Irskoj.	On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.	septembra	lex	september	Arthur Guinness je 24. rujna 1759. godine potpisao zakup na 9.000 godina za pivaru St James‘ Gate u Dublinu u Irskoj.	septembra>rujna
flores-47	flores	Jonny Reid, suvozač tima A1GP-a sa Novog Zelanda, danas je ispisao historiju vozeći do sada najvećom brzinom preko 48 godina starog mosta Auckland Harbour na Novom Zelandu.	Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.	historiju	lex	history	Jonny Reid, suvozač tima A1GP-a sa Novog Zelanda, danas je ispisao istoriju vozeći do sada najvećom brzinom preko 48 godina starog mosta Auckland Harbour na Novom Zelandu.	historiju>istoriju
flores-66	flores	Nakon što je postalo jasno da brojne porodice traže pravnu pomoć u borbi protiv deložacija, 20. marta je održan sastanak u Pravnom centru zajednice East Bay za žrtve stambenih prevara.	After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.	porodice	lex	families	Nakon što je postalo jasno da brojne obitelji traže pravnu pomoć u borbi protiv deložacija, 20. marta je održan sastanak u Pravnom centru zajednice East Bay za žrtve stambenih prevara.	porodice>obitelji
flores-70	flores	HK Management Inc., menadžerska kompanija benda nije navela originalni razlog prilikom otkazivanja koncerta 20. septembra, ali je već sljedećeg dana navela logističke razloge.	The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.	septembra	lex	september	HK Management Inc., menadžerska kompanija benda nije navela originalni razlog prilikom otkazivanja koncerta 20. rujna, ali je već sljedećeg dana navela logističke razloge.	septembra>rujna
flores-81	flores	Hesperonychus elizabethae je vrsta iz porodice dromeosaurida i rođak je velociraptora.	Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .	porodice	lex	family	Hesperonychus elizabethae je vrsta iz obitelji dromeosaurida i rođak je velociraptora.	porodice>obitelji
flores-87	flores	Danas su se u zajednici Red Lejka, tokom sahrane Jeffa Weisea i još tri od ukupno devet žrtava, proširile vijesti da je još jedan student uhapšen u vezi sa školskim pucnjavama 21. marta.	News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.	vijesti	yat	news	Danas su se u zajednici Red Lejka, tokom sahrane Jeffa Weisea i još tri od ukupno devet žrtava, proširile vesti da je još jedan student uhapšen u vezi sa školskim pucnjavama 21. marta.	vijesti>vesti
flores-93	flores	To je u suprotnosti s ranijim izvještajima, u kojima je navedeno da bi ukidanje drugog izbornog kruga bilo protivustavno.	This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.	izvještajima	yat	reports	To je u suprotnosti s ranijim izveštajima, u kojima je navedeno da bi ukidanje drugog izbornog kruga bilo protivustavno.	izvještajima>izveštajima
flores-96	flores	II-76 je bio značajna komponenta kako ruske tako i sovjetske vojske od 1970-ih godina i već je doživio ozbiljnu nesreću u Rusiji prošlog mjeseca.	The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.	mjeseca	yat	month	II-76 je bio značajna komponenta kako ruske tako i sovjetske vojske od 1970-ih godina i već je doživio ozbiljnu nesreću u Rusiji prošlog meseca.	mjeseca>meseca
flores-97	flores	Motor je 7. oktobra otpao prilikom polijetanja, mada nije bilo povrijeđenih. Rusija je ubrzo nakon te nesreće prizemljila Il-76.	On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.	oktobra	lex	october	Motor je 7. listopada otpao prilikom polijetanja, mada nije bilo povrijeđenih. Rusija je ubrzo nakon te nesreće prizemljila Il-76.	oktobra>listopada
flores-98	flores	Transaljaski naftovod dug 800 milja je zatvoreno nakon što je hiljade barela sirove nafte prosuto južno od Fairbanksa na Aljasci.	800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.	hiljade	lex	thousands	Transaljaski naftovod dug 800 milja je zatvoreno nakon što je tisuće barela sirove nafte prosuto južno od Fairbanksa na Aljasci.	hiljade>tisuće
flores-105	flores	U najnovijem mjesečnom izvještaju, OPEC je naveo da se izvoz sirove nafte, koji iznosi 2,9 miliona barela dnevno, srozao na najniži nivo u posljednje dvije decenije.	In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day.	izvještaju	yat	report	U najnovijem mjesečnom izveštaju, OPEC je naveo da se izvoz sirove nafte, koji iznosi 2,9 miliona barela dnevno, srozao na najniži nivo u posljednje dvije decenije.	izvještaju>izveštaju
flores-107	flores	Kada kapsula dođe do Zemlje i uđe u atmosferu, očekuje se da će oko 5 sati ujutro (prema istočnom vremenu) prirediti pravu svjetlosnu predstavu za sve u sjevernoj Kaliforniji, Oregonu, Nevadi i Utahu.	When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.	sjevernoj	yat	northern	Kada kapsula dođe do Zemlje i uđe u atmosferu, očekuje se da će oko 5 sati ujutro (prema istočnom vremenu) prirediti pravu svjetlosnu predstavu za sve u severnoj Kaliforniji, Oregonu, Nevadi i Utahu.	sjevernoj>severnoj
flores-111	flores	„Stardustov voditelj projekta Tom Duxbury, je rekao: „Preći će preko zapadne obale sjeverne Kalifornije i osvijetliti nebo od Kalifornije, preko srednjeg Oregona, sve do Nevade, Idaha i Utaha“.	“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.	sjeverne	yat	northern	„Stardustov voditelj projekta Tom Duxbury, je rekao: „Preći će preko zapadne obale severne Kalifornije i osvijetliti nebo od Kalifornije, preko srednjeg Oregona, sve do Nevade, Idaha i Utaha“.	sjeverne>severne
flores-114	flores	To je najveće preuzimanje u historiji eBaya.	It is the biggest acquisition in eBay's history.	historiji	lex	history	To je najveće preuzimanje u istoriji eBaya.	historiji>istoriji
flores-115	flores	Kompanija želi učiniti izvore zarade raznovrsnijim i steći popularnost u područjima u kojima Skype drži snažnu poziciju, kao što su Kina, Istočna Evropa i Brazil.	The company hopes to diversify its profit sources and gain popularity in areas where Skype holds a strong position, such as China, Eastern Europe, and Brazil.	evropa	lex	europe	Kompanija želi učiniti izvore zarade raznovrsnijim i steći popularnost u područjima u kojima Skype drži snažnu poziciju, kao što su Kina, Istočna Europa i Brazil.	Evropa>Europa
flores-122	flores	Ambasada Sjedinjenih Država u Nairobiju u Keniji izdala je upozorenje da „ekstremisti iz Somalije“ planiraju da izvedu samoubilačke bombaške napade u Keniji i Etiopiji.	"The United States embassy located in Nairobi, Kenya has issued a warning that ""extremists from Somalia"" are planning to launch suicide bomb attacks in Kenya and Ethiopia."	ambasada	lex	embassy		
flores-124	flores	Kad su 1988. godine bili studenti na Univerzitetu u Washingtonu, mnogo prije Daily Showa i Colbertovog izvještaja, Heck i Johnson zamislili su publikaciju koja bi predstavljala parodiju na vijesti—i novinsko izvještavanje.	Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.	izvještaja|vijesti	yat|yat	report|news	Kad su 1988. godine bili studenti na Univerzitetu u Washingtonu, mnogo prije Daily Showa i Colbertovog izveštaja, Heck i Johnson zamislili su publikaciju koja bi predstavljala parodiju na vesti—i novinsko izvještavanje.	izvještaja>izveštaja|vijesti>vesti
flores-129	flores	Ovaj grad će biti prvi grad u jugoistočnoj Evropi koji će ugostiti CowParade, najveći javni umjetnički događaj na svijetu, između juna i avgusta ove godine.	The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.	evropi|svijetu|juna	lex|yat|lex	europe|world|june	Ovaj grad će biti prvi grad u jugoistočnoj Europi koji će ugostiti CowParade, najveći javni umjetnički događaj na svetu, između lipnja i avgusta ove godine.	Evropi>Europi|svijetu>svetu|juna>lipnja
flores-138	flores	Ljudima može naškoditi udisanje zahvaćenih vodenih čestica koje u zrak podižu vjetar i valovi.	Humans can be affected by breathing affected water taken into the air by wind and waves.	vjetar	yat	wind	Ljudima može naškoditi udisanje zahvaćenih vodenih čestica koje u zrak podižu vetar i valovi.	vjetar>vetar
flores-153	flores	Pretpostavlja se da je ovo peti put u historiji da su ljudi posmatrali nešto što se pokazalo da je hemijski potvrđeni materijal s Marsa koji je pao na Zemlju.	This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.	historiji	lex	history	Pretpostavlja se da je ovo peti put u istoriji da su ljudi posmatrali nešto što se pokazalo da je hemijski potvrđeni materijal s Marsa koji je pao na Zemlju.	historiji>istoriji
flores-155	flores	Petnaest ovih stijena pripisuje se kiši meteora od prošlog jula.	Fifteen of these rocks are attributed to the meteorite shower last July.	jula	lex	july	Petnaest ovih stijena pripisuje se kiši meteora od prošlog srpnja.	jula>srpnja
flores-169	flores	Peri je izričito rekao: „Malo je bolje opremljenih mjesta na svijetu za pružanje odgovora na izazov u ovom slučaju.“	"Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case."""	svijetu	yat	world	Peri je izričito rekao: „Malo je bolje opremljenih mjesta na svetu za pružanje odgovora na izazov u ovom slučaju.“	svijetu>svetu
flores-170	flores	Guverner je rekao i sljedeće: „Danas smo saznali da su neka djeca školske dobi imala kontakt s pacijentom.“	"The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient."""	djeca	yat	children	Guverner je rekao i sljedeće: „Danas smo saznali da su neka deca školske dobi imala kontakt s pacijentom.“	djeca>deca
flores-177	flores	U vrijeme dodjele nagrade, škole u Atlanti su napravile veliki napredak u rezultatima testova.	At the time of the award, Atlanta schools had seen a large improvement on test scores.	vrijeme	yat	time	U vreme dodjele nagrade, škole u Atlanti su napravile veliki napredak u rezultatima testova.	vrijeme>vreme
flores-178	flores	Nedugo zatim su novine Atlanta Journal-Constitution objavile izvještaj koji pokazuje probleme sa rezultatima ispitivanja.	Shortly after, The Atlanta Journal-Constitution published a report showing problems with test results.	izvještaj	yat	report	Nedugo zatim su novine Atlanta Journal-Constitution objavile izveštaj koji pokazuje probleme sa rezultatima ispitivanja.	izvještaj>izveštaj
flores-179	flores	Izvještaj je pokazao da su se rezultati testa nevjerovatno brzo povećali i naveo da je škola uočila interne probleme, ali da nije reagovala nakon tih saznanja.	The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.	izvještaj	yat	report	Izveštaj je pokazao da su se rezultati testa nevjerovatno brzo povećali i naveo da je škola uočila interne probleme, ali da nije reagovala nakon tih saznanja.	Izvještaj>Izveštaj
flores-183	flores	Ministar zdravstva izrazio je zabrinutost ne samo za dobrobit pojedinaca koji koriste privremenu zakonsku dozvolu za korištenje supstanci o kojima je riječ, već i za presude u vezi sa drogom izrečene od kada su na snagu stupile sada neustavne promjene.	The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.	promjene	yat	changes	Ministar zdravstva izrazio je zabrinutost ne samo za dobrobit pojedinaca koji koriste privremenu zakonsku dozvolu za korištenje supstanci o kojima je riječ, već i za presude u vezi sa drogom izrečene od kada su na snagu stupile sada neustavne promene.	promjene>promene
flores-185	flores	Boravio je u hotelu tima uoči utakmice planirane za nedjelju protiv Bolonje.	He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.	nedjelju	yat	sunday	Boravio je u hotelu tima uoči utakmice planirane za nedelju protiv Bolonje.	nedjelju>nedelju
flores-187	flores	U subotu u 01:15, prema svjedocima, autobus je prolazio kroz zeleno svjetlo kada je automobil skrenuo ispred njega.	At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it.	svjetlo	yat	light	U subotu u 01:15, prema svjedocima, autobus je prolazio kroz zeleno svetlo kada je automobil skrenuo ispred njega.	svjetlo>svetlo
flores-197	flores	Predsjednik je trenutno u stabilnom stanju, iako će nekoliko dana biti u kućnoj izolaciji.	The president's condition is stable, though he will be isolated at home for several days.	predsjednik	yat	president	Predsednik je trenutno u stabilnom stanju, iako će nekoliko dana biti u kućnoj izolaciji.	Predsjednik>Predsednik
flores-198	flores	„Osim groznice i upale grla, osjećam se dobro i u dobroj formi da svoj posao obavljam putem telefona.“	"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting."	osjećam	yat	feel	„Osim groznice i upale grla, osećam se dobro i u dobroj formi da svoj posao obavljam putem telefona.“	osjećam>osećam
flores-208	flores	Kako navode izvještaji, eksplozija stana u ulici Macbeth uzrokovan je curenjem plina.	According to reports, an apartment on Macbeth Street exploded due to a gas leak.	izvještaji	yat	reports	Kako navode izveštaji, eksplozija stana u ulici Macbeth uzrokovan je curenjem plina.	izvještaji>izveštaji
flores-232	flores	Vlasti još uvijek ne znaju njegovo ime, iako znaju da pripada ujgurskoj etničkoj grupi.	His name is still unknown to authorities, although they do know he is a member of the Uighur ethnic group.	uvijek	yat	still	Vlasti još uvek ne znaju njegovo ime, iako znaju da pripada ujgurskoj etničkoj grupi.	uvijek>uvek
flores-233	flores	Nadia, rođena 17. septembra 2007. godine na carski rez u porodilištu u Aleisku u Rusiji, bila je teška čitavih 17 funti i 1 uncu.	Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.	septembra	lex	september	Nadia, rođena 17. rujna 2007. godine na carski rez u porodilištu u Aleisku u Rusiji, bila je teška čitavih 17 funti i 1 uncu.	septembra>rujna
flores-239	flores	Problem je nastao 1. januara kada su desetine lokalnih stanovnika uložile žalbu Poštanskom uredu Obanazawa jer nisu primili tradicionalne i redovne novogodišnje čestitke.	The issue started on January 1st when dozens of local residents started complaining to the Obanazawa Post Office that they hadn't received their traditional and regular New Year cards.	januara	lex	january	Problem je nastao 1. siječnja kada su desetine lokalnih stanovnika uložile žalbu Poštanskom uredu Obanazawa jer nisu primili tradicionalne i redovne novogodišnje čestitke.	januara>siječnja
flores-241	flores	Bespilotna svemirska letjelica Chandrayaan-1, koja orbitira oko Mjeseca, izbacila je sondu za pad na Mjesec (MIP), koja je udarila u površinu Mjeseca brzinom od 1,5 kilometara u sekundi (3000 milja na sat) , pa se uspješno spustila u blizini Mjesečevog južnog pola.	The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe (MIP), which hurtled across the surface of the Moon at 1.5 kilometres per second (3000 miles per hour), and successfully crash landed near the Moon's south pole.	uspješno	yat	successfully	Bespilotna svemirska letjelica Chandrayaan-1, koja orbitira oko Mjeseca, izbacila je sondu za pad na Mjesec (MIP), koja je udarila u površinu Mjeseca brzinom od 1,5 kilometara u sekundi (3000 milja na sat) , pa se uspešno spustila u blizini Mjesečevog južnog pola.	uspješno>uspešno
flores-246	flores	Od pakistanske neovisnosti od britanske vladavine 1947. godine, pakistanski predsjednik imenovao je „političke agente“ za upravljanje FATA-om, koja vrši skoro potpunu autonomnu kontrolu nad područjima.	"Since Pakistani independence from British rule in 1947, the Pakistani President has appointed ""Political Agents"" to govern FATA, who exercise near-complete autonomous control over the areas."	predsjednik	yat	president	Od pakistanske neovisnosti od britanske vladavine 1947. godine, pakistanski predsednik imenovao je „političke agente“ za upravljanje FATA-om, koja vrši skoro potpunu autonomnu kontrolu nad područjima.	predsjednik>predsednik
flores-249	flores	U zgradi je živjelo nekoliko hodočasnika koji su došli u posjetu svetom gradu uoči hodočašća hadža.	The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage.	posjetu	yat	visit	U zgradi je živjelo nekoliko hodočasnika koji su došli u posetu svetom gradu uoči hodočašća hadža.	posjetu>posetu
flores-261	flores	Nigerija je prethodno najavila da se planirala pridružiti AfCFTA-i u sedmici prije samita.	Nigeria previously announced it planned to join the AfCFTA in the week leading up to the summit.	sedmici	lex	week		
flores-263	flores	Komesar je rekao: „Još nismo postigli dogovor o pravilima o porijeklu i carinskim koncesijama, ali okvir koji imamo dovoljan je da počnemo s trgovinom 1. jula 2020. godine.“	"The commissioner said, ""We haven't yet agreed on rules of origin and tariff con[c]essions, but the framework we have is enough to start trading on July 1, 2020""."	jula	lex	july	Komesar je rekao: „Još nismo postigli dogovor o pravilima o porijeklu i carinskim koncesijama, ali okvir koji imamo dovoljan je da počnemo s trgovinom 1. srpnja 2020. godine.“	jula>srpnja
flores-284	flores	Prošlog mjeseca održani su masovni protesti u Poljskoj kada je država potpisala ACTA-u, zbog čega je Vlada Poljske odlučila da za sada ne ratificira taj sporazum.	Last month, there were major protests in Poland when that country signed ACTA, which has led to the Polish government deciding not to ratify the agreement, for now.	mjeseca	yat	month	Prošlog meseca održani su masovni protesti u Poljskoj kada je država potpisala ACTA-u, zbog čega je Vlada Poljske odlučila da za sada ne ratificira taj sporazum.	mjeseca>meseca
flores-289	flores	Međunarodna karta zemljotresa Američkog geološkog instituta nije pokazala zemljotrese na Islandu sedmicu ranije.	The United States Geological Survey international earthquake map showed no earthquakes in Iceland in the week prior.	sedmicu	lex	week		
flores-298	flores	Do izmjene je došlo na ovoj zakonodavnoj sjednici, kada je drugu rečenicu prvo izbrisao Predstavnički dom, a potom je Senat usvojio u sličnom obliku u ponedjeljak.	A change was made this legislative session when the second sentence was deleted first by the House of Representatives and then was passed in a similar form by the Senate Monday.	sjednici	yat	session	Do izmjene je došlo na ovoj zakonodavnoj sednici, kada je drugu rečenicu prvo izbrisao Predstavnički dom, a potom je Senat usvojio u sličnom obliku u ponedjeljak.	sjednici>sednici
flores-302	flores	Francuski zakon je promijenjen. Njegov aktivizam datira otkad je imao 15. godina, kada se pridružio francuskom otporu tokom Drugog svjetskog rata.	French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.	svjetskog	yat	world	Francuski zakon je promijenjen. Njegov aktivizam datira otkad je imao 15. godina, kada se pridružio francuskom otporu tokom Drugog svetskog rata.	svjetskog>svetskog
flores-308	flores	Bivši olimpijski i svjetski prvak, Saito je u vrijeme smrti bio predsjednik Odbora federacije džudoa u Japanu.	As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.	svjetski	yat	world	Bivši olimpijski i svetski prvak, Saito je u vrijeme smrti bio predsjednik Odbora federacije džudoa u Japanu.	svjetski>svetski
flores-314	flores	U bilješkama je koristio riječi koje su neki roditelji smatrali grubima, a navodno je na časovima koristio i psovke.	In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.	riječi	yat	words	U bilješkama je koristio reči koje su neki roditelji smatrali grubima, a navodno je na časovima koristio i psovke.	riječi>reči
flores-315	flores	Modern Education ga je optužio za štampanje velikih reklama na autobusima bez odobrenja i za laganje da je glavni nastavnik engleskog jezika.	Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.	štampanje	lex	printing		
flores-331	flores	Proglašen je za najboljeg igrača u historiji Partizana 1995. godine.	In 1995 he was voted the best player in Partizan's history.	historiji	lex	history	Proglašen je za najboljeg igrača u istoriji Partizana 1995. godine.	historiji>istoriji
flores-332	flores	Proslava je počela posebnom predstavom koju je izveo svjetski poznati Cirque du Soleil.	The celebrations started with a special show by the world-renowned group Cirque du Soleil.	svjetski	yat	world	Proslava je počela posebnom predstavom koju je izveo svetski poznati Cirque du Soleil.	svjetski>svetski
flores-343	flores	Naked News je prošle sedmice najavio da će dramatično povećati međunarodno izvještavanje vijesti na stranim jezicima, s tri nova jezika.	Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.	sedmice	lex	week		
flores-359	flores	Naučnici ovaj proces nazivaju „stimuliranom emisijom zračenja“ jer jarko svjetlo stimulira atome, što uzrokuje emisiju fotona svjetlosti, a svjetlost predstavlja vrstu zračenja.	"Scientists call this process ""stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation."	svjetlo	yat	light	Naučnici ovaj proces nazivaju „stimuliranom emisijom zračenja“ jer jarko svetlo stimulira atome, što uzrokuje emisiju fotona svjetlosti, a svjetlost predstavlja vrstu zračenja.	svjetlo>svetlo
flores-365	flores	To je zato što struja koja dolazi do utičnice na koju se postavlja metalni dio sijalice može uzrokovati jak strujni udar ako dodirnete unutrašnjost utičnice ili metalnu bazu sijalice dok je sijalica jednim dijelom još uvijek u utičnici.	This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.	uvijek	yat	still	To je zato što struja koja dolazi do utičnice na koju se postavlja metalni dio sijalice može uzrokovati jak strujni udar ako dodirnete unutrašnjost utičnice ili metalnu bazu sijalice dok je sijalica jednim dijelom još uvek u utičnici.	uvijek>uvek
flores-375	flores	Sunce nema koru kao Zemlja na kojoj možete da stojite. Cijelo Sunce sačinjeno je od gasova, vatre i plazme.	The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.	cijelo	yat	whole	Sunce nema koru kao Zemlja na kojoj možete da stojite. Celo Sunce sačinjeno je od gasova, vatre i plazme.	Cijelo>Celo
flores-389	flores	Sanskrit je drevni jezik koji se može porediti s latinskim koji se govorio u Evropi.	Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.	evropi	lex	europe	Sanskrit je drevni jezik koji se može porediti s latinskim koji se govorio u Europi.	Evropi>Europi
flores-409	flores	Većina predmeta zakopanih sa Tutankamonom su dobro očuvani, uključujući i hiljade predmeta napravljenih od plemenitih metala i rijetkog kamenja.	Most of the items buried with Tutankhamun have been well preserved, including thousands of artefacts made from precious metals and rare stones.	hiljade	lex	thousands	Većina predmeta zakopanih sa Tutankamonom su dobro očuvani, uključujući i tisuće predmeta napravljenih od plemenitih metala i rijetkog kamenja.	hiljade>tisuće
flores-416	flores	Postoje različite procjene o tome koliko ljudi govori hindu jezik. Procjenjuje se da je po broju govornika između drugog i četvrtog jezika u svijetu.	There are varying estimates for how many people speak Hindi. It is estimated to be between the second and fourth most commonly spoken language in the world.	procjene|procjenjuje	yat|yat	estimates|estimated	Postoje različite procene o tome koliko ljudi govori hindu jezik. Procenjuje se da je po broju govornika između drugog i četvrtog jezika u svijetu.	procjene>procene|Procjenjuje>Procenjuje
flores-418	flores	Procjene se kreću od 340 do 500 miliona govornika, a čak 800 miliona ljudi razumije taj jezik.	Estimates range from 340 million to 500 million speakers, and as many as 800 million people can understand the language.	procjene	yat	estimates	Procene se kreću od 340 do 500 miliona govornika, a čak 800 miliona ljudi razumije taj jezik.	Procjene>Procene
flores-423	flores	Vremenom su srasle mnoge riječi koje su posuđene iz njemačkog jezika. To je bio početak prosvjetiteljstva.	As time passed, many words that were borrowed from German coalesced. This was the beginning of enlightenment.	riječi	yat	words	Vremenom su srasle mnoge reči koje su posuđene iz njemačkog jezika. To je bio početak prosvjetiteljstva.	riječi>reči
flores-425	flores	Međutim, Charles je pohađao univerzitet na Trinity Collegeu u Cambridgeu, na kojem je studirao antropologiju i arheologiju, a kasnije i historiju, te stekao diplomu koja odražava dobar uspjeh na studiju.	However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).	univerzitet|historiju	lex|lex	university|history	Međutim, Charles je pohađao univerzitet na Trinity Collegeu u Cambridgeu, na kojem je studirao antropologiju i arheologiju, a kasnije i istoriju, te stekao diplomu koja odražava dobar uspjeh na studiju.	historiju>istoriju
